MODE,VAR,RESULT
Std,0.1,274.55519575
Std,0.01,139.2490125
Std,0.001,111.76020625000001
Std,0.0001,84.0180667
Gen,0.1,312.59833540000005
Gen,0.01,117.85245835000003
Gen,0.001,84.3701209
Gen,0.0001,54.9365106
