MODE,VAR,RESULT
Gen,0.1,718.99452715
Gen,0.01,106.91398555
Gen,0.001,48.8557793
Gen,0.0001,30.911306149999994
Std,0.1,688.8400812
Std,0.01,105.67976865
Std,0.001,50.377421
Std,0.0001,33.01317905
