MODE,VAR,RESULT
Gen,1000,2.4983125
Gen,5000,67.3902375
Gen,10000,1313.8840708
Std,1000,1.80484585
Std,5000,23.5600375
Std,10000,32.3237667
Base,1000,1.39672085
Base,5000,21.458058349999998
Base,10000,31.4851854
GenBase,1000,2.45189585
GenBase,5000,64.76832705000001
GenBase,10000,1343.68885415
