MODE,VAR,RESULT
Gen,0.01,1017.4307938
Gen,0.001,969.2278665499998
Gen,0.0001,989.0827207499999
Std,0.01,1981.1043666
Std,0.001,2031.9148981000005
Std,0.0001,2063.4324606500004
