MODE,VAR,RESULT
Gen,1000000,4.985133299999999
Gen,5000000,26.819229200000002
Gen,10000000,8.3549605
Std,1000000,2.7430520000000005
Std,5000000,15.575527099999999
Std,10000000,10.378076999999998
